Timestamp,Signal Duration (s),Target Count,Avg Wait Time
2026-03-18 08:42:42,30,51,566.09
2026-03-18 08:43:20,28.134920634920636,106,541.04
2026-03-18 08:44:29,15.03968253968254,107,295.65
2026-03-18 08:49:01,30,50,443.13
2026-03-18 09:24:02,20.0,300,9.26
2026-03-18 13:04:09,20.0,300,8.58
